region,port_complex_group,port_complex,year,category,comm_name_orig,comm_name,sci_name,landings_n
Northern,Fort Bragg,Fort Bragg-Eureka-Crescent City,2018,Rockfish,"Rockfish, blue",Blue rockfish,Sebastes mystinus,18634
Northern,Fort Bragg,Fort Bragg-Eureka-Crescent City,2018,Rockfish,"Scorpionfish, California",California scorpionfish,Scorpaena guttata,0
Northern,Fort Bragg,Fort Bragg-Eureka-Crescent City,2018,Rockfish,"Rockfish, canary",Canary rockfish,Sebastes pinniger,7460
Northern,Fort Bragg,Fort Bragg-Eureka-Crescent City,2018,Rockfish,"Rockfish, copper",Copper rockfish,Sebastes caurinus,3441
Northern,Fort Bragg,Fort Bragg-Eureka-Crescent City,2018,Rockfish,"Rockfish, gopher",Gopher rockfish,Sebastes carnatus,1070
Northern,Fort Bragg,Fort Bragg-Eureka-Crescent City,2018,Rockfish,"Rockfishes, unspecified",Rockfish,Sebastes spp.,25183
Northern,Fort Bragg,Fort Bragg-Eureka-Crescent City,2018,Roundfish,Cabezon,Cabezon,Scorpaenichthys marmoratus,1466
Northern,Fort Bragg,Fort Bragg-Eureka-Crescent City,2018,Roundfish,"Greenling, kelp",Kelp greenling,Hexagrammos decagrammus,1247
Northern,Fort Bragg,Fort Bragg-Eureka-Crescent City,2018,Roundfish,Lingcod,Lingcod,Ophiodon elongatus,8259
Northern,Bodega Bay,Princeton-Bodega Bay,2018,Other species,"Bass, barred sand",Barred sand bass,Paralabrax nebulifer,0
Northern,Bodega Bay,Princeton-Bodega Bay,2018,Other species,"Sheephead, California",California sheephead,Semicossyphus pulcher,0
Northern,Bodega Bay,Princeton-Bodega Bay,2018,Other species,"Fishes, unspecified",Fish,Osteichthyes spp.,530
Northern,Bodega Bay,Princeton-Bodega Bay,2018,Other species,"Bass, kelp (calico)",Kelp bass,Paralabrax clathratus,0
Northern,Bodega Bay,Princeton-Bodega Bay,2018,Other species,"Whitefish, ocean",Ocean whitefish,Caulolatilus princeps,0
Northern,Bodega Bay,Princeton-Bodega Bay,2018,Other species,"Bass, striped",Striped bass,Morone saxatilis,1938
Northern,Bodega Bay,Princeton-Bodega Bay,2018,Other species,"Croaker, white",White croaker (kingfish),Genyonemus lineatus,209
